F001 字符标识：Unicode码点U+6C34；UTF-8编码E6 B0 B4
F002 化学式：H₂O，分子量18.01528
F003 常态物态：常温（20°C）常压（1atm）下为无色透明液体
F004 凝固点：0°C（1atm），纯水可过冷至-40°C以下
F005 沸点：99.974°C（1atm）
F006 最大密度温度：4°C时密度最大，为0.99987g/cm³
F007 冰密度：0°C时冰密度0.917g/cm³，小于液态水
F008 比热容：20°C时4.184J/(g·K)
F009 汽化热：100°C时2260J/g
F010 熔化热：0°C时334J/g
F011 表面张力：20°C时72.8mN/m
F012 粘度：20°C时1.002cP
F013 折射率：20°C时1.3330（钠光589nm）
F014 介电常数：20°C时80.1
F015 电导率：超纯水0.055µS/cm，海水约4S/m
F016 声速：20°C时1482m/s
F017 pH值（25°C）：纯水7.00
F018 分子结构：键角104.45°，键长0.0958nm，电偶极矩1.85D
F019 氢键：每个水分子最多与4个相邻分子形成氢键，液态中平均约3.4
F020 分子直径：范德华半径0.14nm，分子直径约0.28nm
F021 地球丰度：覆盖地球表面71%，占人体质量约60%
F022 宇宙丰度：第三丰富的分子（次于H₂、CO），星际冰中常见
F023 三相点：0.01°C，611.73Pa
F024 临界点：373.946°C，22.064MPa
F025 感官-视觉：厚度<1cm无色透明，>1m呈蓝绿色（吸收红光）
F026 感官-听觉：液态水流动声频率100-2000Hz；雨滴撞击1000-4000Hz
F027 感官-触觉：湿润，可感知温度（冷/热）和流动性
F028 感官-味觉：纯水无味；含矿物质可尝出咸、涩、酸等
F029 感官-嗅觉：纯水无味；"泥土味"由土臭素引起，非水本身
F030 自电离常数：25°C时Kw=1.0×10⁻¹⁴
F031 热导率：20°C时为0.598W/(m·K)
F032 压缩系数：20°C时等温压缩系数约4.6×10⁻¹⁰Pa⁻¹
F033 介电松弛时间：20°C时主松弛时间约8.2ps
F034 红外吸收峰：强吸收带在3μm（O-H伸缩）和6μm（H-O-H弯曲）
F035 拉曼光谱：O-H伸缩振动3000-3700cm⁻¹，弯曲振动约1640cm⁻¹
F036 磁化率：质量磁化率约-9.0×10⁻⁹m³/kg（抗磁性）
F037 折射率温度系数：20°C时dn/dT≈-1.0×10⁻⁴/K
F038 临界压缩因子：Zc≈0.23
F039 三相点压力：611.73Pa（精确）
F040 三相点温度：0.01°C（精确）
F041 摩尔质量：18.01528g/mol
F042 汽化熵变：100°C时ΔSvap=109.0J/(mol·K)
F043 熔化熵变：0°C时ΔSfus=22.0J/(mol·K)
F044 表面熵：20°C时表面熵约-0.14mN/(m·K)
F045 扩散系数：25°C时自扩散系数约2.3×10⁻⁹m²/s
F046 离子迁移率：H⁺约3.6×10⁻⁷m²/(V·s)，OH⁻约2.0×10⁻⁷
F047 粘度温度关系：20°C时1.002cP，100°C时0.282cP
F048 表面张力温度系数：dγ/dT≈-0.15mN/(m·K)
F049 氧同位素δ¹⁸O：SMOW的δ¹⁸O=0‰，淡水通常为负值
F050 氘同位素δD：SMOW的δD=0‰，淡水通常为负值
F051 全球储量：1.386×10⁹km³，海水96.5%，淡水2.5%，冰川占淡水68.7%
F052 平均停留时间（大气）：约9天
F053 平均停留时间（河流）：约16天
F054 平均停留时间（湖泊）：约10年
F055 平均停留时间（浅层地下水）：约100年
F056 平均停留时间（深层地下水）：约10,000年
F057 平均停留时间（冰川）：约10,000年
F058 平均停留时间（海洋）：约3,000年
F059 宇宙相对丰度（相对于氢）：约10⁻⁴（分子数比）
F060 星际介质存在形式：固态冰（红外吸收3.1μm）、气态水（微波谱线22GHz）
F061 冰相种类（常压）：冰Ih（六方晶系），密度0.917g/cm³
F062 冰相种类（高压）：已知至少18种晶相
F063 临界点密度：322kg/m³
F064 蒸发焓温度依赖：100°C时2260J/g，0°C时2501J/g
F065 冰点压力依赖：每增加1atm，冰点降低约0.0075°C
F066 沸点压力依赖：每升高1atm，沸点升高约28°C
F067 折射率对波长依赖：可见光范围1.333-1.342
F068 紫外吸收边：约190nm
F069 红外发射峰：在3-5μm和8-14μm有强发射
F070 摩尔体积：20°C时18.02cm³/mol
F071 等压膨胀系数：20°C时约2.1×10⁻⁴/K
F072 等温压缩系数：20°C时约4.6×10⁻¹⁰Pa⁻¹
F073 Joule-Thomson系数：0°C时约-0.2K/MPa
F074 介电常数温度系数：dε/dT≈-0.36/K（20°C）
F075 折射率对盐度依赖：每增加1‰盐度，折射率增加约1.7×10⁻⁴
F076 表面张力对盐度依赖：每增加1‰盐度，增加约0.5mN/m
F077 粘度对盐度依赖：每增加1‰盐度，增加约0.5%
F078 沸点对盐度依赖：每增加1‰盐度，升高约0.05°C
F079 冰点对盐度依赖：海水盐度35‰时冰点约-1.9°C
